Time,accX,accY,accZ
1503530532055,0.16775513,-0.23754883,9.078629
1503530532065,0.19631958,-0.21850586,9.100052
1503530532074,0.1701355,-0.21374512,9.076248
1503530532084,0.2034607,-0.21374512,9.107193
1503530532094,0.17965698,-0.22088623,9.076248
1503530532104,0.47244263,-0.14709473,10.256912
1503530532114,0.19631958,-0.28515625,9.397598
1503530532124,0.08206177,-0.16851807,9.176224
1503530532134,0.17489624,-0.22802734,9.147659
1503530532143,0.23202515,-0.26849365,9.138138
1503530532154,0.17965698,-0.22088623,9.121475
1503530532164,0.19869995,-0.21850586,9.15004
1503530532173,0.14157104,-0.21136475,9.000076
1503530532183,0.11062622,-0.22802734,9.128616
1503530532193,0.17489624,-0.24230957,9.126236
1503530532203,0.13919067,-0.21136475,9.119095
1503530532212,0.18441772,-0.22802734,9.121475
1503530532222,0.12966919,-0.22564697,9.095291
1503530532233,0.14633179,-0.26135254,9.138138
1503530532243,0.2034607,-0.206604,9.140518
1503530532252,0.18203735,-0.22802734,9.08577
1503530532262,0.18203735,-0.19946289,9.133377
1503530532272,0.18917847,-0.24468994,9.126236
1503530532282,0.1368103,-0.21850586,9.1167145
1503530532291,0.1534729,-0.22802734,9.064346
1503530532301,0.17251587,-0.21374512,9.130997
1503530532311,0.19869995,-0.25897217,9.09053
1503530532321,0.18917847,-0.23754883,9.15242
1503530532330,0.19155884,-0.21850586,9.09053
1503530532340,0.18203735,-0.25897217,9.114334
1503530532351,0.15109253,-0.23040771,9.121475
1503530532361,0.1368103,-0.17327881,9.126236
1503530532371,0.17251587,-0.18756104,9.102432
1503530532380,0.16299438,-0.20422363,9.192886
1503530532390,0.18441772,-0.21612549,9.071487
1503530532400,0.14871216,-0.22802734,9.052444
1503530532410,0.1867981,-0.21136475,9.126236
1503530532419,0.15823364,-0.22564697,9.114334
1503530532429,0.18917847,-0.24707031,9.0976715
1503530532439,0.1534729,-0.23040771,9.102432
1503530532449,0.1867981,-0.23278809,9.069107
1503530532458,0.16299438,-0.22802734,9.08577
1503530532469,0.17727661,-0.2637329,9.0976715
1503530532479,0.20584106,-0.1899414,9.130997
1503530532489,0.16299438,-0.19470215,9.1809845
1503530532499,0.18441772,-0.20898438,9.164322
1503530532508,0.16537476,-0.1899414,9.121475
1503530532518,0.21774292,-0.2232666,9.123856
1503530532528,0.18203735,-0.19946289,9.166702
